etiqueta,experiencia_slug,tipo_regla,precio_cop,min_pax,max_pax,origen,orden,activa,supabase_id
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,9121187c-7c3f-413e-a724-2027455dbdc6
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,3c959bf1-22c5-4c02-a7ec-717aca0f62ad
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,500909ff-f442-4b98-83dd-5b1143db8eea
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,99e446b5-8ea7-4056-8f63-0558c26158d4
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,00578b84-b491-4563-b729-6b29adc48274
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,12d8a51c-ad91-4a16-84e1-9d52d55eb61d
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,5d36abe1-e9a3-4396-815c-0ceeeebed749
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,8f56150d-9d49-4de5-930f-3b8e6065987f
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,3175f976-70a4-44dd-b109-5c54bf67c1ac
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,8c28a5df-7a6c-44c1-8dca-3556113a3514
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,2cf572f3-9f80-497a-a915-eead6398b379
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,9d2f2ebd-37be-46da-97a7-1ff52375b00e
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,bd3283db-f3ca-4e00-8995-64a9dc1ddf17
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,9dd82ba0-7b68-4d24-8a72-ab75a6040649
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,396360ac-65ec-48db-804f-cbf0897effc3
